Time,Type1,Type2,Type3,Type4,Type5,Type6,Type7
0,0.7007445680146418,1.549769410469204,-0.39789002412505625,-1.402099293376796,-0.8352884085240111,-0.969165495487275,-0.5860084984710534
7,-0.18780804526120476,1.234850758889964,1.2323432901686244,-0.07610273740606188,-0.012239145655548844,-0.7058350456717073,-0.6287142579615259
14,-0.5298450344719909,0.20053078397833213,1.4143792681914924,0.595735517619111,-0.3885776561864811,-0.7355060822706443,-1.1112893402038595
21,-0.5149738610280439,0.036013923652078006,0.5931947451105559,1.179174002246234,0.6272303559783126,0.08512912224368119,-0.9917132136305375
28,-0.8755998170437642,-0.36331846191703576,-0.037863312035385066,0.8750787920769452,0.35492037681365396,0.4224331861233752,-0.6201731060634317
35,-0.8421396767948826,0.18608497427286297,-0.4808175252243627,0.8397188839177256,0.8046907918384272,1.31256844998562,0.011872134395552791
42,-1.0020047913173156,-0.2097302116570079,-0.9237717384133401,-0.17157448943595388,-0.03977610984073876,0.8196931577731674,0.3876828179117058
49,-0.5409984145549513,0.11050603298337647,-0.8024144197314294,-0.4933496536848532,-0.2237230979236342,0.7714468306163842,1.1393041849440109
56,0.4404990327455658,-0.0993179658040706,-0.4221614878614386,-1.030820257704991,-0.5716192212326385,0.004314523930902592,1.0104112110532215
63,1.2546957788016768,-0.11497404087591945,0.5050306590452145,-0.6120191396727415,-1.0385324393578799,-0.3560414780384229,0.8815182371624322
70,1.0576527306693762,-0.4585461174764547,0.9419170063000966,-0.10718852313967386,-0.4783457249007754,-0.7163974800077486,0.36215849580956094
77,0.8606096825370755,-0.37436546683100524,0.6223427337710628,0.562619419057794,0.15318772219672505,-0.27583272715974694,-0.02548674489776115
84,0.16910011739352893,-1.0419972270802602,-0.3242443519478482,-0.030057563742763138,-0.6448168845959334,-0.7226332879590478,-0.5758157977844507
91,0.050130729841951105,-0.22331755727235048,-0.26880926743794475,0.7260889511709103,0.22453250492322097,0.2770255926905745,-0.314809543606982
98,-0.009353963933838028,-0.15987743525771547,-0.3780308542516648,0.13189948432464682,-0.23394998132901534,0.32099781417237105,0.2861173740436578
105,-0.27331729256390136,0.0032543070656321227,-0.7501932982095281,-0.131349013645216,0.2697127602598779,0.5870971494422723,0.1811332213493646
112,0.12820439042267395,-0.26863193013994735,-0.6814241509564447,-0.8383592653357066,1.989005946054061,0.01215318752271255,0.7138057334996994
